STT,T1,L1,H1,S1,V1,X1,D1,N1,T2,L2,H2,S2,V2,X2,D2,N2,T3,L3,H3,S3,V3,X3,D3,N3,T4,L4,H4,S4,V4,X4,D4,N4,T5,L5,H5,S5,V5,X5,D5,N5,T6,L6,H6,S6,V6,X6,D6,N6,GT,DT,KV,DH1,DH2,DH3,KT
1,7.2,7.3,6.3,7.3,7,7.9,7.3,5.5,8.4,8.9,5.8,9,6.6,8.7,7.2,5.8,7.4,7.4,5.2,6.6,6.9,8.9,8.1,5.8,7.2,7.1,5.9,7.2,6.6,5.8,8.1,5.9,7.4,5.6,6.1,5.7,7.9,5,7.4,5,6.9,5.7,6.5,7.2,8.4,6.6,7.6,5.9,F,,2NT,3.25,3.25,4.5,A1
2,5.4,3.9,3.9,4,5.4,5.4,5.3,2.8,6.3,5.4,3.2,7.2,5.4,6.1,4.7,4.7,4.3,3.8,3.7,3.7,5.2,6.6,5.8,4.4,4.9,2.8,5.1,4.5,5.6,7,7.6,4.7,3,4.6,4.4,4.9,4.3,6.3,6.7,4.4,4,5.4,4,5.2,5.5,6.6,6.1,4.4,M,,1,6,4,3.5,C
3,5.6,6.8,7.2,7.5,4.3,7.4,5.8,3.2,5,4.9,6.2,6.1,5.3,7.1,4,4.9,2.8,6.3,6.2,5.6,2.5,5.8,5.1,3.7,6.1,6.1,5.8,6.8,4,6.4,5.3,4.1,4.8,5.1,6.4,5.1,4,6.9,3.9,3.2,5.7,6.6,6.8,6.8,4.1,7.9,8.1,4.6,M,,1,5,6.75,4,C
4,6.6,6.4,5.3,6.9,5.4,7.3,6.4,5.8,5.1,6.2,5.5,5.5,4.4,6.5,4.9,4.4,5.9,7.3,5.9,4.9,5.7,6.8,6.8,5.4,4.1,4.4,4.1,7.3,5.3,7.1,7.3,5.6,6.1,4.9,5.3,4,6.2,5.5,5.9,6.5,7.4,5.6,6.6,6.8,6.6,7.1,7.3,7.4,M,,1,4.25,4.25,5.25,D1
5,6,5,6,7.3,6.5,7.7,7.9,6.1,5.4,5.5,5.9,7.5,6.5,6.9,7.6,6.4,7.6,7.6,6.7,6.6,5.7,7.9,7.4,7.3,4.4,6.5,5.6,8.3,6.2,4.9,8.6,7.7,6.8,5.4,4.7,5,5.1,7,7,6.3,8,6.2,6.8,6.9,6.6,6.1,7.5,7.2,M,,2NT,4.25,4.5,5,A
6,9.3,7.6,7.9,8.6,7,7.3,7.7,7.9,9.6,7.8,8,8.7,7.7,8,9.2,9.1,7.1,8.5,8.1,8.7,7.2,8.4,7.7,8.2,8.5,8.5,7.7,9.2,8,6.6,7.3,8.8,8.5,7.6,8.1,9,8.4,6.6,6.6,8.2,7.8,6.4,7.2,7.7,7.7,5.7,8,7.8,M,,1,1.5,4,6,D1
7,2.8,3.9,5.5,6.9,5,7.3,4.6,5.2,4.4,6.7,5.5,7.7,5,6.6,6.1,4.6,4.6,4.8,4.4,8.1,5.6,6,4.8,3.9,4.7,6.3,4.8,7.1,6.8,7.7,6.6,5.6,5.4,4.5,5,5,5.9,6.1,6.1,4.8,5.3,7,6,5.7,6.1,6.6,6,6,F,,2,6.5,6.75,5.25,C
8,8.3,6,7.6,5.1,7.5,4.7,5.8,7.2,6.7,6.3,6.4,7.1,7.3,6.9,6.1,7.9,8.6,5.7,6.9,6.6,7.4,6,5.8,6.5,8.3,5.3,6.2,6.4,7.6,5.4,6.7,6.3,8.5,7,6.1,6.4,6.6,4.8,7.4,6.9,8.3,6.7,5.6,5.9,7.3,7.1,6.8,7,F,,2,3.75,4.5,4.25,D1
9,6.5,6.3,7.6,6,5.5,7.1,6.3,5,7.3,6.8,7.3,6.5,6.4,7.9,7.6,3.7,6.4,6.7,6.7,7.3,6.2,6.1,8.2,5.7,8.1,6,6.3,7.8,7.2,7.6,8.5,5.7,7.7,7.5,8.8,6.5,5.6,5.6,7.1,6.7,7.7,8.7,8.9,7.5,6,9.1,7.9,6.1,F,,1,3.5,3.5,6.75,D1
10,7.3,5.9,4.7,7.1,6.7,7.9,6.7,7.7,8,6.8,7.6,6.9,6.8,7.8,6.4,7.4,6.5,7.3,6,7.8,7.2,7.9,7.1,7.7,5.5,7,6,6.7,8,7.2,6.3,7.2,7.5,7,8,5.9,7.1,6.3,5.1,7.1,6.9,7,6.7,7.1,7.7,6.4,6.1,7.8,F,,1,4,4.75,5.5,D1
11,5.2,6.4,7.4,7,7.1,8.1,7.6,6.8,6.3,6.5,8.4,7.5,6.3,9.1,8.6,7.5,7.8,7.9,7.4,8.4,5.7,9.6,8.4,7.8,7.6,5.7,6.4,8.2,6.7,7.3,8.3,7.5,6.2,6.1,5.9,7.2,6.7,7.1,7.4,6.6,7.3,7.2,7.2,8.8,7.6,6,7.2,7.2,F,,2,3,4,5.5,D1
12,7.9,7,9.1,8.6,6.1,7,5.6,9,8.2,7.1,8.8,7.6,6.9,7.3,7.2,9,8.1,8.4,8.5,7.6,5.5,8,6.6,8.6,6.9,7,8.9,8.6,5.6,5.3,7.1,8.3,8,7.8,8.6,7.3,6.2,3.9,5.7,8.6,8.1,7.9,8.3,7.9,6.4,6.4,6.7,8.7,M,,2,6.75,6.5,4.25,D1
13,7.3,6.3,8.7,7.7,6.6,8.5,6.9,8.5,5.8,5.7,6.3,7.3,7.3,7.1,7.9,7.7,8.5,7.1,7.8,6.5,7.1,8.4,8.5,9.1,7.6,6.7,6.7,7.8,7.5,7.1,7.8,8.9,9.3,7.2,8.6,7.1,7.5,6.9,7.5,9,8.3,7,7.1,7.2,7.9,6.8,5.6,8.5,F,,1,2,4.5,5,D1
