week,profit
1,84.895
2,68.919
3,93.001
4,92.683
5,79.678
6,74.828
7,94.988
8,91.081
9,82.246
10,90.899
11,83.011
12,67.099
13,64.486
14,67.06
15,76.704
16,86.356
17,65.465
18,91.925
19,78.404
20,68.521
21,85.137
22,77.329
23,72.244
24,84.728
25,81.066
26,89.741
27,97.842
28,76.13
29,94.007
30,58.648
31,98.987
32,63.572
33,62.616
34,93.787
35,86.865
36,56.826
37,50.588
38,94.695
39,59.957
40,64.936
41,83.072
42,64.22
43,73.461
44,53.239
45,99.417
46,79.14
47,71.175
48,75.776
49,66.698
50,71.645
51,72.427
52,91.889
53,101.82
54,89.14
55,95.229
56,71.499
57,80.89
58,103.08
59,97.447
60,85.36
61,91.231
62,103.68
63,63.255
64,93.158
65,62.765
66,82.846
67,76.775
68,108.09
69,60.826
70,102.24
71,113.4
72,114.45
73,103.39
74,84.126
75,87.407
76,71.768
77,95.392
78,77.602
79,112.81
80,99.965
81,82.657
82,100.95
83,74.737
84,84.196
85,111.34
86,97.583
87,71.691
88,106.16
89,94.583
90,67.358
