"run","speed","load","alcohol"
1,1500,20,0
2,1500,20,31.7
3,1500,20,55.9
4,1500,NA,74
5,1500,20,84.5
6,1500,40,0
7,1500,40,42.7
8,1500,40,58.1
9,1500,40,73.2
10,1500,60,0
11,1500,60,30.7
12,1500,60,45.3
13,1500,60,56.3
45,1500,70,0
46,1500,70,38.9
47,1500,70,49.2
14,NA,NA,0
15,1500,20,31.15
16,1500,20,55.09
17,1500,20,71.47
18,1500,40,0
19,1500,40,39.7
20,NA,40,56
21,1500,60,0
22,1500,60,30.16
23,1500,60,42.78
24,1500,60,56.02
25,1500,70,0
26,1500,70,22.2
27,1500,70,32.6
28,1500,70,43.1
29,2000,20,0
30,2000,20,43.6
31,2000,NA,58.7
32,2000,20,69.2
33,2000,20,77.8
34,2000,40,0
35,2000,40,30.7
36,2000,40,44.7
37,2000,40,56.8
38,2000,40,63.8
39,2000,60,0
40,2000,60,44.7
41,2000,60,54
42,2000,70,0
43,2000,70,40
44,2000,70,49.2
