CID,Province,Revenue,Employees,Total_Asset,Profit,ROA,ROE,P.L.O,ROI,ROS,Debt.Equity.,CL.TA,L.TA,NWC
1,Alessandria,207918,454,165588,10691,11.09,25.97,58.24,NA,8.82,0,1,0,4332
2,Milano,160615,259,97147,5348,10.07,29.73,54.64,NA,6.08,0,0.81,0.19,25171
3,Milano,146019,403,127722,3341,16.75,4.56,15.62,29.19,14.51,0,1,0,54151
4,Alessandria,141401,304,224664,-871,1.1,-1.03,-35.38,1.74,1.72,0.56,0.87,0.13,56141
5,Vicenza,126609,84,45174,3164,10.22,13.12,68.54,10.91,3.64,0.46,0.56,0.44,31643
6,Vicenza,121147,132,48912,1823,6.12,9.3,60.86,6.73,2.46,1.27,0.89,0.11,6754
7,Vicenza,89497,57,16707,339,3.79,5.93,53.51,4.71,0.71,1.36,1,0,3988
8,Treviso,82429,59,23785,732,1.02,12.75,301.52,1.24,0.29,2.42,0.94,0.06,1467
9,Alessandria,74621,67,89794,5573,9.63,17.25,64.43,16.84,11.58,0.59,0.94,0.06,35589
10,Treviso,67357,110,11301,-5158,-32.58,NA,NA,NA,-5.44,0,0.87,0.13,98
11,Treviso,63039,75,3757,179,-5.41,32.57,-87.83,NA,-0.32,0,1,0,568
12,Alessandria,60774,102,49069,4912,13.79,11.36,72.6,15.65,11.09,0,1,0,42851
13,Alessandria,57830,12,3358,65,4.9,2.31,39.21,5.9,0.28,0,1,0,2431
14,Vicenza,56318,104,16934,675,7.17,12.85,55.63,11.25,2.14,1.05,0.68,0.32,2094
15,Alessandria,51686,9,7196,-1068,-5.46,NA,NA,NA,-0.76,-1.18,1,0,-10027
16,Vicenza,45990,48,63798,-525,2.27,-2.03,-36.22,3.4,3.15,0.65,0.71,0.29,16551
17,Vicenza,45691,93,31974,3650,14.98,32.78,76.21,18.26,10.45,1.36,0.79,0.21,8145
18,Vicenza,41727,11,2927,226,14.75,19.17,52.38,19.9,1.03,0.84,0.37,0.63,2312
19,Vicenza,41399,65,17332,406,7.63,9.82,30.68,9.02,3.19,2.55,0.8,0.2,4245
20,Vicenza,39915,50,16674,1523,12.88,19.72,70.92,18.58,5.35,0.5,0.98,0.02,5624
21,Vicenza,34764,91,36287,1317,6.48,7.36,55.96,9.95,6.56,0.32,0.94,0.06,14100
22,Vicenza,33671,51,17666,-106,9.46,-2.38,-6.33,11.67,4.86,2.23,0.8,0.2,536
23,Padova,33401,31,16824,2,1.1,0.05,1.29,1.3,0.55,1.34,0.7,0.3,2965
24,Milano,32269,91,76176,-12925,3.12,-39.68,NA,4.01,7.26,0.82,0.68,0.32,30453
25,Vicenza,29090,63,13435,2053,23.01,22.17,66.42,NA,10.21,0,1,0,8799
